Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
NC_063383,Monkeypox virus,,"Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Senkevich,T.G., Yutin,N., Wolf,Y.I., Koonin,E.V., Moss,B., Zmasek,C.M., Knipe,D.M., Pellett,P.E., Scheuermann,R.H.","National Center for Biotechnology Information, NIH",USA,2022-05-30,MPXV-M5312_HM12_Rivers,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197209,RefSeq,complete,,,3,Nigeria: Rivers State,Nigeria,,Homo sapiens,,2018-08,,PRJNA485481,"Monkeypox virus, complete genome"
NC_003310,Monkeypox virus,,"Senkevich,T.G., Yutin,N., Wolf,Y.I., Koonin,E.V., Moss,B., Zmasek,C.M., Knipe,D.M., Pellett,P.E., Scheuermann,R.H., Shchelkunov,S.N., Totmenin,A.V., Babkin,I.V., Safronov,P.F., Ryazankina,O.I., Petrov,N.A., Gutorov,V.V., Uvarova,E.A., Mikheev,M.V., Sisler,J.R., Esposito,J.J., Jahrling,P.B., Sandakhchiev,L.S.","National Center for Biotechnology Information, NIH",USA,2001-12-12,,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,196858,RefSeq,complete,,,3,"Zaire: Sankuru subregion, Kasdai Oriental",Zaire,,Homo sapiens,,1996,,PRJNA485481,"Monkeypox virus, complete genome"
PP601239,Monkeypox virus,,"Roychoudhury,P., Xie,X., Sereewit,J., Ellis,S., Greninger,A.","University of Washington, Laboratory Medicine and Pathology",USA,2024-04-15,MpxV/human/USA/CA-UW-301960/2024,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197196,GenBank,complete,,,,USA: California,USA,CA,Homo sapiens,,2024-02-14,,,"Monkeypox virus isolate MpxV/human/USA/CA-UW-301960/2024, complete genome"
PP533278,Monkeypox virus,,"Clabby,T.T., Wang,J.C., Amin,H.S., Taki,F., Su,M., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Siemetzki-Kapoor,U.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2024-03-31,NY-NYCPHL-001192,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195648,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023-01,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001192, complete genome"
PP533281,Monkeypox virus,,"Clabby,T.T., Wang,J.C., Amin,H.S., Taki,F., Su,M., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Siemetzki-Kapoor,U.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2024-03-31,NY-NYCPHL-001195,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195654,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023-01,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001195, complete genome"
PP533282,Monkeypox virus,,"Clabby,T.T., Wang,J.C., Amin,H.S., Taki,F., Su,M., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Siemetzki-Kapoor,U.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2024-03-31,NY-NYCPHL-001196,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195660,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023-01,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001196, complete genome"
PP533283,Monkeypox virus,,"Clabby,T.T., Wang,J.C., Amin,H.S., Taki,F., Su,M., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Siemetzki-Kapoor,U.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2024-03-31,NY-NYCPHL-001197,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195643,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023-02,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001197, complete genome"
PP533284,Monkeypox virus,,"Clabby,T.T., Wang,J.C., Amin,H.S., Taki,F., Su,M., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Siemetzki-Kapoor,U.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2024-03-31,NY-NYCPHL-001198,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195647,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023-02,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001198, complete genome"
PP533285,Monkeypox virus,,"Clabby,T.T., Wang,J.C., Amin,H.S., Taki,F., Su,M., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Siemetzki-Kapoor,U.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2024-03-31,NY-NYCPHL-001199,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195651,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023-02,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001199, complete genome"
PP533286,Monkeypox virus,,"Clabby,T.T., Wang,J.C., Amin,H.S., Taki,F., Su,M., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Siemetzki-Kapoor,U.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2024-03-31,NY-NYCPHL-001200,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195655,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023-02,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001200, complete genome"
